,商品名,价格,店铺,销量,省份
825,素直宋意中秋月饼礼盒多口味流心月饼送礼佳品6只礼盒装礼品,128.0,素直旗舰店,300.0,浙江
826,知味观中秋月饼礼盒装广式蛋黄莲蓉流心奶黄木糖醇馅团购送礼礼品,49.9,知味观食品专卖店,4978.0,浙江
827,集味村 广式月饼 黑豆沙月饼老式手工中秋送礼手信潮汕朥饼礼盒装,108.0,集味村旗舰店,1238.0,广东
828,迪士尼快乐奇旅月饼礼盒流心奶黄广式奶酥皮月中秋送礼团购礼盒装,148.0,魅尚良品,92.0,广东
829,香港美心双黄白莲蓉月饼中式广式中秋铁盒装流心蛋黄礼盒港版送礼,248.0,虫虫15168,27.0,广东
830,稻香村月饼礼盒装送礼稻香尊月930g广式蛋黄莲蓉多口味团购礼品,89.0,金盛食品专营店,123.0,北京
831,荷家流心奶黄月饼6枚装 散装传统糕点中秋节送礼团购糕点小吃,49.9,lilygarden荷家旗舰店,2649.0,重庆
832,星巴克月饼星情星悦星奕礼盒门店自提全国通用配送提货中秋送礼品,189.0,北京礼券联盟,314.0,上海
833,五芳斋糯月饼流心奶黄月饼焦糖红豆中秋月饼 散装多口味广式月饼,39.9,五芳斋官方旗舰店,479.0,浙江
834,七星伴月月饼礼盒蛋黄莲蓉豆沙多口味广式月饼中秋送礼盒装,31.9,隆鑫美食店,242.0,广东
835,星巴克月饼礼盒星情星悦星奕门店自提配送全国通用中秋礼品团购,189.0,鸿运88网,321.0,上海
836,广式小月饼蛋黄莲蓉散装多口味流心奶黄月饼礼盒装送礼老式小零食,9.9,其妙旗舰店,10000.0,福建
837,2020官方哈根达斯月饼券898型金尊冰淇淋月饼提货券全国通用,718.4,淘淘的小店儿,208.0,北京
838,木糖醇月饼低无糖精脂果仁馅传统老式散装 多口味豆沙零食品,36.8,知心奶奶旗舰店,520.0,江苏
839,【陶陶居】月饼7种口味流心奶黄金沙凤梨巧克力味小七星伴月礼盒2,298.0,广州饮食集团旗舰店,56.0,广东
840,稻香村月饼礼盒装中秋送礼品蛋黄五仁散装多口味广式月饼团购铁盒,39.9,旭美食品专营店,330.0,浙江
841,广州酒家七星伴月月饼礼盒双黄纯白莲蓉蛋黄五仁广式月饼节日送礼,198.0,小黄直销部,96.0,广东
842,提篮月饼礼盒装广式流心蛋黄莲蓉五仁散装多口味中秋节团购送礼品,39.9,嘉誉食品企业店,1308.0,浙江
843,米旗团圆心礼月饼礼盒装蛋黄豆沙黑芝麻多口味中秋节送礼品团购,39.9,刘广宇1990,444.0,陕西
844,知心奶奶福满堂月饼礼盒360g无糖精食品中秋传统中老年糕点心糖尿,49.8,天猫超市,15.0,上海
845,稻香村月饼双层礼盒蛋黄莲蓉京式五仁多口味散装中秋特产送礼袋,128.0,稻香村食品旗舰店,940.0,北京
846,金九吴川伍仁月饼金腿大月饼1斤手工广式五仁中秋节月饼礼盒礼袋,139.9,天猫超市,490.0,上海
847,稻香村团圆富贵月饼礼盒装蛋黄莲蓉枣泥五仁多口味广式散装中秋,59.9,稻香村食品旗舰店,466.0,北京
848,澳门永辉双黄白莲蓉中秋送礼月饼礼盒752g广式月饼糕点老式,158.0,天猫超市,37.0,上海
849,广州酒家 利口福月饼双黄纯白莲蓉月饼650g中秋月饼礼盒好事成双,158.0,天猫超市,311.0,上海
850,五仁月饼云腿老式散装多口味手工火腿豆沙小月饼中秋礼盒装送礼,29.9,云宣稻香园旗舰店,702.0,云南
851,三珍斋竹篮月饼礼盒装蛋黄莲蓉多口味广式月饼中秋节礼品团购送礼,49.9,小肉包的小菜包,175.0,浙江
852,礼券元祖中秋节雪中集冰淇淋脆皮雪月饼送礼盒电子券提货券门店,378.0,元祖食品官方旗舰店,45.0,上海
853,2020年248花色提篮杏花楼月饼券票中秋广式月饼礼盒提货券上海用,223.2,诚信的店家88,284.0,上海
854,义家人广西合浦伍仁金腿大月饼传统老式中秋礼盒装广式五仁叉烧,68.0,柳溪河食品,344.0,广西
855,小月饼整箱7.8斤约150个特价包邮多口味小包装五仁豆沙水果味月饼,49.7,星夜幻风,300.0,河北
856,吴川湛杨伍仁金腿大月饼2斤礼盒 广式手工老五仁火腿中秋团购送礼,198.0,湛杨食品旗舰店,38.0,广东
857,中国香港美心赏心月夜月饼礼盒流心奶黄巧克力蛋黄莲蓉精致礼盒,328.0,美心官方旗舰店,338.0,上海
858,星巴克月饼券票348 458 598星情星悦星奕月饼礼盒提货券全国通用,243.6,aniuniu3082,120.0,上海
859,万寿斋盛宴月饼提篮礼盒装多口味网红冰皮传统五仁团购中秋送礼,59.9,万寿斋食品旗舰店,45000.0,上海
860,黄家月2斤大月饼五仁叉烧广西合浦公馆黄记中秋月饼送礼盒装广式,129.0,黄家月公馆月皇专卖店,1065.0,广西
861,中秋月饼礼盒装送礼流心广式豆沙五仁莲蓉蛋黄团购散装多口味老式,128.0,义口酥旗舰店,5000.0,浙江
862,华美月饼 双层提篮高端硬盒月饼礼盒装 中秋节广式蛋黄莲蓉送礼品,149.0,润韬食品专营店,50.0,浙江
863,榴芒一刻榴莲冰皮月饼礼盒装中秋节送礼品水果味网红手工糕点广式,218.0,榴芒一刻旗舰店,130.0,广东
864,元祖月饼券298雪月饼中秋月饼礼盒提货券月饼票全国通用,235.0,诚信的店家88,652.0,上海
865,2020香港港版美心流心奶黄月饼礼盒正品流沙流心流星奶黄中秋代购,268.0,寒茹2005,58.0,广东
866,广州酒家岭南佳果月饼礼盒草莓金桔凤梨水果味中秋广式月饼送礼,238.0,广州酒家旗舰店,156.0,广东
867,嘉华月饼云腿月饼80gX10枚云南特产中秋酥皮宣威蛋黄火腿月饼礼盒,52.8,颖刚食品专营店,521.0,云南
868,吉丽柏雅台式手工酥皮月饼礼盒装中秋节送礼物台湾蛋黄多口味团购,78.0,吉丽柏雅旗舰店,359.0,福建
869,流心奶黄月饼礼盒中秋送礼港式奶黄蔓越莓紫薯抹茶4味*2共8个装！,119.9,甘福园旗舰店,22.0,广东
870,杏花楼月饼券 248型花色提篮中秋月饼礼盒提货礼品券多选一,198.4,真诚票务,66.0,上海
871,金鹏广式双黄月饼蛋黄白莲蓉味100g*4个老式手工中秋月饼团购批发,15.8,歌伦贝食品专营店,6500.0,广东
872,蛋糕皮月饼蛋月烧散装五仁枣泥豆沙中秋老式蛋皮老味道手工多口味,24.8,七零二食品专营店,3395.0,河北
873,中国香港美心冰皮月饼mini4组合迷你芒果燕窝月饼进口中秋送礼,258.0,美心官方旗舰店,299.0,上海
874,五芳斋燕窝中秋月饼礼盒装臻月流心香草桑葚蓝莓杨枝甘露甜点礼品,398.0,五芳斋官方旗舰店,6.0,浙江
875,礼券元祖中秋星空月饼冰淇淋礼盒装送礼多口味电子提货卷门店通用,248.0,元祖食品官方旗舰店,108.0,上海
876,台湾进口伊莎贝尔中秋月饼港式凤梨酥糕点月之舞泉晓梦礼盒装包邮,148.0,往尚仁,128.0,福建
877,Haagen-Dazs/哈根达斯月饼券玲珑心意冰淇淋月饼提货券全国通用,214.4,天国商城88,208.0,北京
878,稻香村双簧莲蓉月饼铁盒礼盒装800g中秋送礼团购,109.0,稻香村食品旗舰店,57.0,北京
879,稻香村花好月圆中秋月饼礼盒广式蛋黄莲蓉多口味送礼团购,168.0,稻香村食品旗舰店,1.0,北京
880,嘉华月饼尝鲜装160g火腿月饼玫瑰滇式云南特色多口味酥皮月饼中秋,35.8,天猫超市,223.0,上海
881,知味观苏式月饼玫瑰豆沙360g中华老字号休闲零食糕点点心,21.9,天猫超市,651.0,上海
882,功德林2口味6只共480g手工酥皮月饼老式传统,45.0,天猫超市,278.0,上海
883,中国香港美心流心芝士干酪味月饼礼盒进口港式流沙蛋黄中秋送礼,358.0,天猫超市,55.0,上海
884,知味观清风放月中秋月饼礼盒装水果流心奶黄高档团购批发送礼礼品,328.0,知味观官方旗舰店,7.0,浙江
885,满减【知味观流心奶黄饼100克】流心酥蛋黄中秋月饼送礼礼品散装,25.15,知味观官方旗舰店,1047.0,浙江
886,纯冬蓉月饼台山特产正宗海宴鸿源城筒装冬瓜糕冬翅手工新鲜出炉,24.85,二元超市01,760.0,广东
887,郭师傅经典惠州手信纪念一盒四种味道尝遍广式月饼送礼大四囍筒装,68.0,郭师傅旗舰店,668.0,广东
888,荃盛月饼礼盒蛋黄莲蓉月饼冰皮广式月饼散装多口味团购中秋节送礼,24.9,荃盛旗舰店,25000.0,浙江
889,南台月家庭装月饼散装蛋黄酥多口味中秋云腿莲蓉肉松火腿酥皮网红,80.0,cddwzz,328.0,四川
890,万寿斋广式蛋黄莲蓉鲍鱼高档中秋月饼提篮大礼盒装冰皮送礼团购,158.0,南禾食品专营店,76.0,江苏
891,杏花楼 精装纸盒 广式月饼礼盒中秋送礼老式传统多口味盒装礼品,85.0,杏花楼食品旗舰店,994.0,上海
892,日威月饼散装整箱10斤多口味蛋黄莲蓉广式传统中秋小月饼5斤批发,88.0,悠乐食品专营店,96.0,浙江
893,广州酒家 家团圆礼盒中秋广式月饼蛋黄纯白莲蓉员工福利团购送礼,138.0,广州酒家旗舰店,49.0,广东
894,广州酒家 月团圆中秋月饼630g蛋黄纯白莲蓉广式月饼节日送礼手信,138.0,广州酒家旗舰店,38.0,广东
895,美心月饼券中秋节流心奶黄月饼礼盒提货卷劵全国通用可发实物,182.4,叽咪啦,312.0,上海
896,香港制造进口元朗荣华月饼双黄白莲蓉中秋港版月饼港式740g礼盒,248.0,tangguzai8,150.0,广东
897,2020年398豪华提篮杏花楼月饼券票中秋广式月饼礼盒提货券上海用,358.2,诚信的店家88,101.0,上海
898,五芳斋月饼礼盒装蛋黄莲蓉豆沙广式月饼送礼中秋节团购福利礼盒装,32.9,月芽食品专营店,194.0,浙江
899,包邮山西特产神池胡麻油中秋月饼传统老式五仁油酥皮手工月饼散装,28.9,惠吃猫儿,818.0,山西
900,杏花楼花色提篮广式月饼上海多口味大月饼莲蓉椰蓉礼盒装中秋送礼,186.0,姜泰食品,37.0,上海
901,西区老大房 烘焙月饼 生胚 鲜肉蟹粉 萝卜丝 虾仁 东方cj购物,99.0,秋天的麦浪888,192.0,上海
902,满减【会员专享188-100】五芳斋流心奶黄月饼礼盒中秋团购送礼,193.0,五芳斋官方旗舰店,10.0,浙江
903,现货半岛迷你奶黄月饼 香港代购半岛酒店正品奶黄月饼8个顺丰包邮,278.0,tb5636743365,76.0,香港
904,帝辉中秋高档月饼礼盒装蛋黄莲蓉鲍鱼广东广式多口味五仁送礼团购,169.0,联顺食品专营店,222.0,广东
905,陶陶居x若来rolife联名款Nanci囡茜玉兔异色月饼广州酒家礼盒送礼,398.0,广州饮食集团旗舰店,1958.0,广东
906,云腿月饼云南特产火腿月饼曲靖云维月饼宣威火腿云腿蛋黄月饼糕点,75.0,曲靖农特产网,433.0,云南
907,锋味月饼礼盒帕尔玛火腿蛋黄陈皮豆沙广式多口味装礼盒装送礼礼品,198.0,锋味旗舰店,439.0,天津
908,金尊广式鲍鱼莲蓉蛋黄红豆豆沙冬蓉水果多口味月饼中秋送礼礼盒装,288.0,金尊旗舰店,62.0,广东
909,【预售】LINE FRIENDS豫园中秋布朗熊月饼多味传统糕点礼盒装送礼,158.0,老城隍庙旗舰店,670.0,上海
910,中秋节月饼礼盒装广式蛋黄莲蓉椰蓉豆沙桃山皮企业团购定制送礼品,79.9,粮午斋嘉兴专卖店,42.0,浙江
911,稻香村月饼礼盒散装蛋黄莲蓉老式五仁枣泥多口味糕点中秋送礼铁盒,49.9,忠利安食品专营店,10000.0,北京
912,哈根达斯月饼券698彩云追月中秋冰淇淋月饼礼盒提货券票全国通用,523.5,诚信的店家88,70.0,上海
913,广州酒家八星礼月月饼礼盒中秋广式月饼多口味月饼送客户好友礼盒,348.0,广州酒家旗舰店,101.0,广东
914,月饼礼盒装送礼广式蛋黄莲蓉五仁多口味散装高档竹篮中秋节礼品,39.9,迁迁记旗舰店,216.0,安徽
915,故宫月饼礼盒朕的心意中秋节锦盒高档创意送礼团购福昕瑞琳吉丽,298.0,中启鸿越食品专营店,71.0,北京
916,稻香村月饼高档礼盒中秋喜团圆550g蛋黄莲蓉金丝枣蓉传统月饼送礼,88.0,绿森官方旗舰店,0.0,浙江
917,冰皮乳果流心月饼中秋礼盒芒果蔓越莓抹茶牛奶多口味糕点散装零食,39.8,王小二旗舰店,51.0,上海
918,苏南潮汕特产朥饼绿豆饼酥皮豆沙月饼老式多口味广东特产手工喜饼,49.0,苏南食品旗舰店,186.0,广东
919,稻香村吉祥礼月饼礼盒蛋黄莲蓉美观豆沙多口味京式广式月饼送礼,79.9,稻香村食品旗舰店,219.0,北京
920,采芝斋五仁百果椒盐苏式月饼300g/筒*3百年传承糕点,39.9,天猫超市,764.0,上海
921,稻香村黑金稻香450g中秋月饼礼盒团购送人零食糕点零食,108.0,天猫超市,4.0,上海
922,迪士尼快乐酷奇月饼礼盒6枚装网红中秋送礼团购海盐芝士流心奶黄,258.0,天猫超市,9.0,上海
923,久知味月饼礼盒知月礼盒多口味奶黄流心巧克力月饼蛋黄莲蓉酥,79.9,天猫超市,59.0,上海
924,嘉华滇式中秋节高档月饼礼盒装760g多口味云南酥皮月饼咸蛋黄送礼,158.0,天猫超市,31.0,上海
925,知味观钱塘雅月木糖醇月饼礼盒装中秋节礼品苏式蛋黄五仁团购送礼,39.9,知味观官方旗舰店,2094.0,浙江
926,知味观月光下的幸福中秋月饼礼盒装酥皮芝士流心团购员工福利送礼,146.0,知味观官方旗舰店,4.0,浙江
927,广州酒家 五仁月饼750g铁盒装 广式月饼礼盒中秋送礼员工福利团购,188.0,广州酒家旗舰店,940.0,广东
928,哈根达斯月饼券698型彩云追月冰淇淋月饼礼盒提货券票 全国通用,523.5,票券世家,20.0,上海
929,稻香村月饼礼盒上品华礼1020g中秋节礼品团购广式蛋黄莲蓉五仁,89.0,鼎鑫隆食品专营店,202.0,北京
930,稻香村迷你月饼礼盒装蛋黄莲蓉五仁中秋节员工礼品送礼散装多口味,29.9,云鼎润杰食品专营店,6000.0,天津
931,【直营】中国香港半岛酒店迷你奶黄月饼8颗装港式中秋送礼礼盒,438.0,天猫国际进口超市国内现货,4468.0,上海
932,中国香港美心流心月饼菠萝酥礼盒流心巧克力芝士凤梨中秋礼盒,298.0,美心官方旗舰店,227.0,上海
933,星巴克月饼券星情星悦星奕门店券提货券配送券兑换卷中秋礼品团购,195.0,中粮食品网,232.0,北京
934,【好想你_美满月饼礼盒540g】桃山奶黄流心燕窝月饼礼盒装送礼,199.0,好想你官方旗舰店,1.0,河南
935,歌帝梵月饼提货券票GODIVA中秋巧克力月饼礼盒368型悦享 全国配送,257.6,jurry999,222.0,上海
936,杏花楼奶油椰蓉100g*5袋上海特产椰丝奶油广式糕点中秋月饼包邮,41.85,上海迎礼商贸,398.0,上海
937,美心月饼券票中秋港式月饼礼盒提货券348型流心奶黄全国通用,265.0,aniuniu3082,84.0,上海
938,中秋月饼高档台式冰皮月饼礼盒装送礼桃山皮抹茶芝士散装多口味,59.9,升澜食品专营店,267.0,江苏
939,Loncy/萝西中秋节巧克力月饼礼盒装送礼高档团购多口味创意定制礼,159.0,萝西旗舰店,35.0,安徽
940,广式中秋月饼竹篮礼盒装传统手工老式蛋黄五仁水果多口味团购送礼,19.9,guwenhong3,843.0,浙江
941,高端木盒装月饼礼盒流心奶黄广式五仁中秋节高端定制商务送礼品,79.9,美亿嘉旗舰店,125.0,浙江
942,amalee艾玛琳燕窝月饼流心奶黄网红多口味中秋节礼盒装送礼定制,298.0,zddguangzhou,145.0,四川
943,故宫月饼朕的心意锦绣万花瓶系列蓝叶瑛歌青碧中秋月饼礼盒团购,188.0,臻便宜企业店,96.0,北京
944,荣诚月饼传统广式蛋黄月饼豆沙月饼散装多口味中秋团购礼盒装送礼,29.9,荣诚旗舰店,3987.0,广东
945,中秋月饼礼盒华美月饼礼盒装时尚品味华美620g双层礼盒装团购送礼,49.9,wangjiadong0510,1085.0,江苏
946,上海杏花楼蛋黄莲蓉月饼100g*5个中秋咸蛋散装广式月饼传统糕点心,50.0,dyj1230_168,252.0,上海
947,中国香港美心漫威Marvel系列月饼钢铁侠卡通流心奶黄礼盒中秋送礼,228.0,美心官方旗舰店,428.0,上海
948,中秋节广式月饼礼盒装蜂蜜贡枣高档送礼团购定制企业LOGO礼品送人,86.0,芮稻旗舰店,68.0,浙江
949,秋香月饼礼盒装苏式酥皮老式五仁散装多口味豆沙中秋节送礼团购,49.9,秋香食品旗舰店,15000.0,山东
950,朕的心意故宫食品广式蛋黄莲蓉月饼玫瑰紫薯多口味禧盒中秋礼盒,258.0,朕的心意旗舰店,373.0,福建
951,星巴克月饼券票598型星奕中秋月饼礼盒提货券月饼票江浙沪用现货,382.0,c雨雨99,62.0,上海
952,网红大月饼温州桥墩镇特产手工蛋黄板栗芝麻月饼中秋送礼盒装团购,45.9,吴玉源旗舰店,5000.0,浙江
953,哈根达斯月饼券票中秋礼盒提货券冰淇淋月饼378型圆满臻萃 全国用,283.5,henrywa,27.0,上海
954,美心流心奶黄月饼8个礼盒装流沙蛋黄港式进口中秋送礼品港版顺丰,208.0,tb5636743365,132.0,香港
955,稻香村糖醇福月月饼礼盒装糖醇莲蓉豆沙南瓜月饼中秋送礼团购,79.9,稻香村食品旗舰店,568.0,北京
956,荃盛寻味中秋月饼礼盒蛋黄莲蓉雪皮冰皮团购送礼零食糕点单件包邮,49.9,天猫超市,141.0,上海
957,知味观钱塘雅月中秋月饼礼盒木糖醇蛋黄莲蓉苏式五仁团购福利送礼,131.0,知味观官方旗舰店,67.0,浙江
958,知味观中秋节月饼礼盒装广式蛋黄莲蓉流心奶黄豆沙桃山皮团购送礼,89.9,知味观官方旗舰店,30.0,浙江
959,知味观流心奶黄月饼礼盒装网红零食中秋节月饼流沙蛋黄流心馅送礼,59.9,知味观食品专卖店,1829.0,浙江
960,运费到付顺丰快递 广州白天鹅宾馆月饼 蛋黄莲蓉口味 椰蓉口味,223.0,鹏乐文体中心,39.0,广东
961,北京稻香村中秋送礼广式蛋黄礼盒月饼双黄椰八珍,259.0,北京稻香村旗舰店,272.0,北京
962,【直营】中国香港美心盛意奶黄月饼礼盒流心流沙蛋黄进口中秋送礼,298.0,天猫国际进口超市国内现货,168.0,上海
963,金苹果广式中秋月饼蛋黄莲蓉多口味散装传统中秋送礼盒装糕点零食,39.9,金苹果大嘴客专卖店,1866.0,广东
964,YOTIME中秋节月饼礼盒装送礼桃山皮流心绿豆糕点伴手礼品团购定制,138.0,yotime旗舰店,1127.0,浙江
965,五芳斋双层竹篮月饼礼盒装广式蛋黄莲蓉散装多口味中秋节礼品送礼,69.9,东云池城食品专营店,852.0,浙江
966,锦华黑松露流心奶黄月饼礼盒米其林级法国餐大师台式月饼中秋礼品,258.0,锦华礼食品旗舰店,88.0,广东
967,百亿补贴【百草味-桃山皮水果月饼360g/6只】多口味中秋送礼盒,79.8,百草味旗舰店,113.0,浙江
968,广州酒家双黄纯白莲蓉月饼红豆沙广式团购中秋节送礼礼盒七星伴月,97.0,随行如梦,244.0,广东
969,美心月饼券348型流心奶黄/四式318双黄白莲蓉中秋港式礼盒提货票,206.0,琴琴票务,68.0,上海
970,【好想你_圆满月饼礼盒540g】蛋黄莲蓉多口味月饼礼盒装中秋送礼,109.0,好想你官方旗舰店,3.0,河南
971,YOTIME中秋节月饼礼盒装送礼广式蛋黄莲蓉桃山皮高档礼品团购定制,178.0,yotime旗舰店,243.0,浙江
972,月饼散装多口味老式混搭传统苏式酥皮五仁椒盐手工中秋礼盒装送礼,24.8,优麦食品专营店,576.0,山东
973,吴川金九月饼伍仁金腿2斤 传统手工广式五仁火腿大月饼礼盒装送礼,208.0,wgsgwen1,308.0,广东
974,【团购专用】米旗月饼礼盒装中秋节员工送礼礼品,139.0,米旗官方旗舰店,33.0,陕西
975,现货广州特产莲香楼月饼双黄纯白莲蓉月饼蛋沙月饼中秋广式月饼,86.14,阳光泡泡小屋,130.0,广东
976,五芳斋月饼礼盒欢享装蛋黄白莲蓉广式豆沙月饼中秋节月饼礼品团购,89.9,五芳斋官方旗舰店,49.0,浙江
977,哈根达斯月饼提货券 七星伴月498型冰淇淋票盒全国通用中秋礼品卡,398.4,lianshop_txw,15.0,北京
978,官方正品郭师傅叉烧皇月饼广式月饼惠州特产五仁豆沙双蛋黄莲蓉饼,39.0,农户特产888,193.0,广东
979,梅元居2/3/4斤伍仁金腿 中秋节广式五仁火腿大月饼礼盒包邮送礼,98.0,韦礼安602,271.0,广东
980,帝辉七星伴月广东广式蛋黄莲蓉传统月饼中秋节高档大礼盒装送礼,139.0,帝辉食品旗舰店,81.0,广东
981,美心月饼券票中秋港式月饼礼盒提货券318型双黄白莲蓉 上海使用,200.0,爱的选择love,78.0,上海
982,稻香村月饼中秋月饼礼盒装广式蛋黄莲蓉豆沙五仁月饼单位福利团购,29.9,心诚意信食品专营店,2976.0,河南
983,中国香港美心月饼森雪果园冰皮月饼礼盒中秋送礼月饼,288.0,美心官方旗舰店,77.0,上海
984,哈根达斯月饼券冰淇淋月饼礼盒玲珑心意提货券兑换卡中秋礼品团购,214.0,中粮食品网,181.0,北京
985,米旗月饼礼盒装诚意心月广式蛋黄米奇月饼散装多口味中秋送礼团购,49.9,闲汇食品企业商城,249.0,陕西
986,稻香村月饼礼盒装黑松露流心奶黄蛋黄莲蓉五仁高档三层中秋节礼品,168.0,薛老三食品专营店,122.0,北京
987,广式水果小月饼散装多口味五仁豆沙哈密瓜蛋黄月饼。,24.6,挖山人旗舰店,654.0,浙江
988,采蝶轩金典八星拱月 传统工艺广式月饼 中秋送礼 包邮,133.0,采蝶轩旗舰店,39.0,广东
989,荃盛燕窝月饼礼盒装广式蛋黄莲蓉豆沙冰皮月饼散装多口味中秋送礼,59.9,荃盛诺莎朵专卖店,100000.0,浙江
990,现货流心冰皮月饼芒果蓝莓多口味6个装广式礼盒中秋送礼团购包邮,85.0,友爱昊客之家,354.0,广东
991,香港半岛酒店迷你奶黄月饼8个装 港版中秋送礼礼盒 港式进口蛋黄,338.0,beima100,46.0,广东
992,皇上皇酒家月饼礼盒装高档铁盒双黄白莲蓉五仁老式传统中秋节送礼,39.9,saayren,576.0,广东
993,福海月饼吴川老广式经典五仁 金火腿中秋大月饼礼盒装团购送礼,128.0,福海月旗舰店,1325.0,广东
994,新都冠生园月饼高档双层礼盒装广式火腿五仁蛋黄多口味中秋节送礼,79.9,坚持到底12131415,227.0,四川
995,莫斯科餐厅月饼礼盒装 送礼光辉岁月北京老莫高档中秋礼品送客户,198.0,常迎客来,37.0,北京
996,采芝斋喜悦金秋月饼520g中华老字号蛋黄莲蓉水果礼袋月饼中秋送礼,29.9,天猫超市,693.0,上海
997,金苹果酪唠团圆礼袋装月饼约500g中秋蛋黄月饼莲蓉多口味散装送礼,19.9,天猫超市,3828.0,上海
998,【包邮】小乖总冰皮流心月饼礼盒爆浆月饼礼盒480g/盒台式月饼,79.8,天猫超市,98.0,上海
999,上海新雅广式月饼上等五仁100g传统伍仁百果中华老字号下午茶糕点,10.8,天猫超市,1173.0,上海
1000,稻香村稻香贡礼月饼三层礼盒双黄莲蓉奶油椰蓉多口味中秋团购送礼,498.0,稻香村食品旗舰店,6.0,北京
1001,稻香村中秋礼盒蛋黄莲蓉广式传统五仁枣泥糖醇京式月饼散装多口味,89.0,稻香村食品旗舰店,83.0,北京
1002,知味观知味如意月酥皮苏式老月饼苏月礼盒装中秋送礼礼品福利团购,52.9,知味观官方旗舰店,62.0,浙江
1003,知味观团圆月中秋节广式月饼礼盒装蛋黄莲蓉豆沙员工福利团购送礼,79.9,知味观官方旗舰店,26.0,浙江
1004,咀香园莲蓉蛋黄月饼铁盒装 中秋月饼礼盒团购 广式月饼送礼多口味,68.0,咀香园旗舰店,1192.0,广东
1005,潘祥记云腿月饼滇式宣威火腿月饼散装多口味云南特产酥皮中秋月饼,15.8,蓬发食品专营店,2245.0,云南
1006,哈根达斯月饼券268玲珑心意中秋月饼礼盒提货礼品券月饼票多选一,201.0,真诚票务,163.0,上海
1007,2020星巴克月饼券458型星悦礼盒提货券全国配送北京 江浙沪自提券,320.0,不折不扣的折扣,135.0,北京
1008,莲香楼月饼五仁咸肉月饼中秋月饼广式月饼中秋礼盒包邮,119.0,广州市莲香楼有限公司,188.0,广东
1009,【百亿补贴】新雅中秋月饼礼盒全家福广式月饼多口味五仁蛋黄莲蓉,85.0,新雅食品旗舰店,197.0,上海
1010,中国香港美心流心四式月饼流沙奶黄芝士港式月饼礼盒中秋送礼团购,278.0,金世名扬食品专营店,29.0,北京
1011,2020香港港版美心流心奶黄月饼礼盒正品蛋黄流沙西饼高档送礼顺丰,288.0,25号代购店,83.0,广东
1012,香港锦华月饼礼盒装黑松露流心奶黄480g双层高端中秋礼品团购送人,214.2,首农商城,231.0,北京
1013,金山特产亭林东林月饼苏式上海酥皮老手工猪油夹沙百果多口味包邮,49.0,上海天天瓜子店,258.0,上海
1014,博鳌袋鼠迷你广式小月饼散装多口味水果味蛋黄莲蓉豆沙糕点整箱,25.96,博鳌袋鼠旗舰店,5500.0,河南
1015,美心月饼券票中秋港式月饼礼盒提货券348型流心奶黄 全国配送,295.8,诚信的店家88,1448.0,上海
1016,南台月喜月手工酥皮月饼520g莲蓉蛋黄云腿五仁中秋礼盒送礼,159.0,南台月旗舰,202.0,四川
1017,2020新版港式流心奶黄月饼8个礼盒装蛋黄流沙中秋送礼品特产糕点,168.0,萌雨果果,107.0,浙江
1018,现货 广州酒家 双黄纯白莲蓉月饼礼盒750g利口福广式蛋黄饼酥食品,168.0,轩益商行,142.0,广东
1019,稻香村月饼礼盒稻香贡礼1660g双层高档礼品中秋节送礼送客户团购,498.0,泽洋伟业食品专营店,37.0,北京
1020,杏花楼月饼券票中秋广式月饼礼盒提货券95型迷你&嫦娥铁盒 上海用,76.0,jurry999,2039.0,上海
1021,2020中秋月饼礼盒装定制企业logo团购流心广式高档礼品送客户员工,128.0,芮稻旗舰店,69.0,浙江
1022,吉庆祥纸包硬壳火腿月饼500g中华老字号滇式蛋黄云腿酥云南特产,29.0,kingrefu,775.0,云南
1023,中国香港美心冰皮月饼粒粒初雪冰皮月饼礼盒中秋送礼港式月饼团购,258.0,金世名扬食品专营店,17.0,北京
1024,台湾进口宏亚礼坊秋语音乐高档三层中秋流心月饼礼盒装送礼团购,368.0,腾云食品专营店,175.0,北京
1025,山西吕梁临县五仁月饼红糖空心月饼空壳胡麻油素老式月饼手工传统,39.9,lixinyi911031,272.0,山西
1026,稻香村月饼礼盒装送礼多口味五仁月饼老式手工蛋黄莲蓉月饼糖醇,85.0,稻香村苏州专卖店,124.0,北京
1027,买3送1经贸宾馆云腿月饼300g云南特产滇式宣威火腿饼酥皮风味月饼,49.9,经贸福月旗舰店,497.0,云南
1028,卢师傅月饼椰蓉小月饼椰奶甜点椰丝球小零食清真中秋多口味小月饼,17.0,百寿坊羊肉汤有限公司,5500.0,山东
1029,潘祥记云腿月饼100gx10个中秋滇式宣威火腿酥饼糕点云南特产散装,69.8,羽宣食品专营店,273.0,云南
1030,稻香村无糖精月饼礼盒节日送礼中秋节木糖醇月饼糕点多口味送老人,68.0,京粮时代食品专营店,474.0,北京
1031,迷你中秋小月饼散装多口味水果味凤梨草莓水蜜桃莲蓉蛋黄糕点点心,29.83,博鳌袋鼠精品店,2664.0,河南
1032,杏花楼中秋月饼券248型花式提篮提货券（特惠）,166.0,新惠票务,107.0,上海
1033,稻香村团圆佳礼月饼礼盒蛋黄莲蓉金丝枣蓉月饼多口味中秋团购送礼,88.0,绿森官方旗舰店,1.0,浙江
1034,星巴克月饼券星晴星悦月饼礼盒提货卷劵中秋企业团购定制全国通用,195.0,wd871028,321.0,上海
